
---------- Begin Simulation Statistics ----------
final_tick                                 7085440500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 117693                       # Simulator instruction rate (inst/s)
host_mem_usage                                 664052                       # Number of bytes of host memory used
host_op_rate                                   148794                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   129.63                       # Real time elapsed on the host
host_tick_rate                               54660898                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    15255958                       # Number of instructions simulated
sim_ops                                      19287511                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.007085                       # Number of seconds simulated
sim_ticks                                  7085440500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  81378737                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 10094689                       # number of cc regfile writes
system.cpu.committedInsts                    15255958                       # Number of Instructions Simulated
system.cpu.committedOps                      19287511                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.928875                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.928875                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                           48549                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               346559                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  4437427                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.599002                       # Inst execution rate
system.cpu.iew.exec_refs                      7945759                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    2930261                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  740345                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               5525301                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts              70495                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            257743                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              3220556                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            25407763                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               5015498                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            463382                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              22659264                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  20989                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                864077                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 259415                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                892100                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            344                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       139658                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         206901                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  22175210                       # num instructions consuming a value
system.cpu.iew.wb_count                      22211051                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.537528                       # average fanout of values written-back
system.cpu.iew.wb_producers                  11919790                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.567373                       # insts written-back per cycle
system.cpu.iew.wb_sent                       22297109                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 23598703                       # number of integer regfile reads
system.cpu.int_regfile_writes                13312460                       # number of integer regfile writes
system.cpu.ipc                               1.076571                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.076571                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                15      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              14938394     64.61%     64.61% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                27982      0.12%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                     0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                   0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                    0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                   0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     64.73% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     64.73% # Type of FU issued
